"","mu","sd","negsumllk","timewindow"
"1",8.01923573474629,3.70494897879343,333.525709320578,"Jan 01 - Jan 20"
"2",7.22866232011372,2.80462499002499,300.764735767352,"Jan 15 - Jan 21"
"3",6.95052701058932,2.59209369817874,392.333354179909,"Jan 16 - Jan 22"
"4",6.68103518125854,2.72832732428674,520.703143098997,"Jan 17 - Jan 23"
"5",6.29004617461132,2.56193722295984,587.339026929385,"Jan 18 - Jan 24"
"6",6.07225767983527,2.39766920239933,669.96885527753,"Jan 19 - Jan 25"
"7",5.83266410270142,2.50983213840764,684.022088487495,"Jan 20 - Jan 26"
"8",5.50706419552357,2.25849499370409,720.968688083835,"Jan 21 - Jan 27"
"9",5.18465697799036,2.02400427302707,753.780844064379,"Jan 22 - Jan 28"
"10",4.80964913851025,2.17219133856333,762.581726614397,"Jan 23 - Jan 29"
"11",4.69960040186959,2.1043306522901,684.538438086868,"Jan 24 - Jan 30"
"12",4.7107970511294,2.36796415707334,684.296098392278,"Jan 25 - Jan 31"
"13",4.32779158024527,2.34321300751521,586.27991270722,"Jan 26 - Feb 01"
"14",4.18845880610278,2.32020391577648,551.335066523276,"Jan 27 - Feb 02"
"15",4.04610127532888,2.30329298082646,476.136637903282,"Jan 28 - Feb 03"
"16",4.02119584033436,2.47055013932759,417.825478944677,"Jan 29 - Feb 04"
"17",3.85999750026786,2.34409980101567,414.289111484707,"Jan 30 - Feb 29"
