"","mean","sd","rho","muUB","muLB","sdUB","sdLB","rhoUB","rhoLB","timewindow"
"1",8.04384775367928,4.40581206257007,0.407795286513325,8.88906896136421,7.24891664467831,5.52653387897618,3.33317021057954,0.642128748660201,-0.0265885896505772,"2020-01-01 2020-01-20"
"2",7.16681051804262,3.57111098494305,0.484825272097178,7.90498167280606,6.50176893436083,4.47462464886126,2.72630832363159,0.677758055357329,0.174710909453136,"2020-01-15 2020-01-21"
"3",6.56565261825905,3.17280867328336,0.494295557602617,7.19014815847233,6.0024130235425,3.8245536379543,2.51279584660663,0.652723252839671,0.303459843762053,"2020-01-16 2020-01-22"
"4",6.07360102939205,3.10229326704717,0.50649741357085,6.63856717569594,5.55144778023712,3.67061256992015,2.59859336149772,0.663267724356593,0.327304088193889,"2020-01-17 2020-01-23"
"5",6.08753060566607,3.06724357144361,0.504050628612041,6.62933890434696,5.58473683862066,3.63468314003565,2.51688539977907,0.65380013516261,0.315698446268033,"2020-01-18 2020-01-24"
"6",6.45403038573485,3.19431780230764,0.524954754772235,6.92665663448823,6.01751876440161,3.80232353632893,2.65876364559212,0.669997437267713,0.336072444060072,"2020-01-19 2020-01-25"
"7",6.18893545523132,2.89352852068301,0.48915353292677,6.66308621420331,5.77491437683069,3.42156575510093,2.3726359404306,0.638881978605438,0.273513802462854,"2020-01-20 2020-01-26"
"8",5.82218978359587,2.50179622165243,0.444236027842934,6.31757145045056,5.38726626802411,3.05565574473468,2.01741977102645,0.61720384988602,0.221112375292914,"2020-01-21 2020-01-27"
"9",5.61334867618652,2.37380137191204,0.475306956127218,6.01657629893404,5.24682667764258,2.87244204563901,1.8888861285562,0.614600600164857,0.287265911350891,"2020-01-22 2020-01-28"
"10",5.49123439879383,2.90971737111234,0.400838546973826,5.89098477786891,5.09201956226228,3.50612380526676,2.29167555569606,0.542113446966781,0.215965933804575,"2020-01-23 2020-01-29"
"11",5.48923076164498,2.84998581859414,0.311690841497209,5.93224600571703,5.09810340208063,3.43311338938653,2.29212193367259,0.470200173278506,0.12949313901043,"2020-01-24 2020-01-30"
"12",5.30374292405619,3.00820403864684,0.377852468260423,5.74737673674148,4.86397008938037,3.55576224628417,2.35408394907174,0.515295101977544,0.196900428345578,"2020-01-25 2020-01-31"
"13",5.11581895499061,3.12573198676274,0.414142919612405,5.56138135560818,4.68963177539978,3.68763302221519,2.53819038777569,0.562734218217187,0.24586026415732,"2020-01-26 2020-02-01"
"14",5.2119714793132,3.38797096083288,0.472250743279523,5.68441578701591,4.75586481925033,4.04345335387331,2.71022455136522,0.626752833565325,0.272176518772454,"2020-01-27 2020-02-02"
"15",5.39850147692673,3.76542516581213,0.580094582232057,5.89698440651925,4.92443635360351,4.50722286439447,2.97781435393075,0.717562109802814,0.42698082725886,"2020-01-28 2020-02-03"
"16",5.31984437008927,3.94557618581389,0.605414344038825,5.83000979046527,4.80129810047066,4.71896133570503,3.18393731161109,0.761036964039942,0.409947312494132,"2020-01-29 2020-02-04"
"17",6.35675228017662,3.99111883272154,0.559957012368482,6.92495045669719,5.73650752787343,4.76563213743006,3.11481650424163,0.731163684856177,0.351241857722743,"2020-01-30 2020-02-29"
