,mean,sd,muUB,muLB,sdUB,sdLB,rhofix,timewindow
1,8.075923515,4.16010865,8.847831159,7.284188236,5.121878721,3.232317359,0.25,2020-01-01 2020-01-20
2,7.283862177,3.314609764,7.99635292,6.614230595,4.092132554,2.596413317,0.25,2020-01-15 2020-01-21
3,6.774746736,2.985341122,7.324541162,6.233556919,3.543036867,2.415708843,0.25,2020-01-16 2020-01-22
4,6.348783389,2.973810723,6.867136125,5.881700057,3.533229694,2.510828549,0.25,2020-01-17 2020-01-23
5,6.334179754,2.895298045,6.800394109,5.86268434,3.403337872,2.388105195,0.25,2020-01-18 2020-01-24
6,6.653434002,2.955968873,7.112506814,6.20294534,3.477653471,2.459684781,0.25,2020-01-19 2020-01-25
7,6.382801336,2.753075046,6.820407406,5.965237086,3.276516351,2.245528067,0.25,2020-01-20 2020-01-26
8,5.98999137,2.413865706,6.413760162,5.62890483,2.945953901,1.928852481,0.25,2020-01-21 2020-01-27
9,5.784817457,2.274796009,6.152148412,5.433023362,2.754038794,1.825838587,0.25,2020-01-22 2020-01-28
10,5.607377983,2.851631205,5.997215313,5.202569943,3.421383926,2.235607756,0.25,2020-01-23 2020-01-29
11,5.540075845,2.837048906,5.926384954,5.186775301,3.401883965,2.28815524,0.25,2020-01-24 2020-01-30
12,5.431525825,2.995061916,5.831673983,5.013603227,3.550493995,2.316485195,0.25,2020-01-25 2020-01-31
13,5.279955353,3.072929204,5.740102848,4.87168903,3.640268218,2.482850388,0.25,2020-01-26 2020-02-01
14,5.397994475,3.228787903,5.898613214,4.941930618,3.838048106,2.577608447,0.25,2020-01-27 2020-02-02
15,5.64359048,3.453139109,6.18835859,5.143761406,4.076904404,2.712087716,0.25,2020-01-28 2020-02-03
16,5.62103311,3.594495831,6.194151509,5.086852137,4.288131489,2.907101818,0.25,2020-01-29 2020-02-04
17,6.639793623,3.62431053,7.29838807,5.972294376,4.341822222,2.747598608,0.25,2020-01-30 2020-02-29
18,8.03427643,4.635395896,8.797098266,7.250015481,5.76362369,3.559517317,0.5,2020-01-01 2020-01-20
19,7.158964907,3.597833365,7.817008655,6.521738939,4.504616473,2.785583097,0.5,2020-01-15 2020-01-21
20,6.560276534,3.180032964,7.112015211,6.070359657,3.789184919,2.582013476,0.5,2020-01-16 2020-01-22
21,6.081308774,3.096891427,6.543022555,5.643888094,3.660417437,2.611364847,0.5,2020-01-17 2020-01-23
22,6.091984244,3.063105205,6.521669046,5.64963296,3.600330771,2.538978321,0.5,2020-01-18 2020-01-24
23,6.475045014,3.16236887,6.901780981,6.042592805,3.693000534,2.660918808,0.5,2020-01-19 2020-01-25
24,6.178704824,2.902931742,6.576909765,5.792324071,3.405328139,2.402829616,0.5,2020-01-20 2020-01-26
25,5.765280305,2.53530151,6.16150507,5.440136958,3.081399305,2.033525201,0.5,2020-01-21 2020-01-27
26,5.590881583,2.388326484,5.934497836,5.260040569,2.88568441,1.914377823,0.5,2020-01-22 2020-01-28
27,5.401891952,2.970832266,5.766490399,5.025727198,3.572755101,2.33923064,0.5,2020-01-23 2020-01-29
28,5.309479893,2.927680077,5.687974872,4.957566838,3.510971424,2.341388146,0.5,2020-01-24 2020-01-30
29,5.163863692,3.036980325,5.547331407,4.770631568,3.586241153,2.400605403,0.5,2020-01-25 2020-01-31
30,5.019520911,3.175298686,5.441396646,4.621327345,3.721034014,2.611476512,0.5,2020-01-26 2020-02-01
31,5.186649726,3.419921253,5.660137705,4.788358699,4.034651426,2.760345225,0.5,2020-01-27 2020-02-02
32,5.462634569,3.64266878,5.981145799,4.99682351,4.272836498,2.874604045,0.5,2020-01-28 2020-02-03
33,5.413578197,3.773687027,5.933953592,4.941815041,4.462974894,3.091419484,0.5,2020-01-29 2020-02-04
34,6.413365702,3.877799488,7.054960503,5.783974508,4.641936067,2.994298083,0.5,2020-01-30 2020-02-29
35,8.089598356,5.946475668,8.962405264,7.245530366,7.624293231,4.369847921,0.75,2020-01-01 2020-01-20
36,7.01175621,4.403957814,7.672423231,6.382575925,5.67124648,3.188275371,0.75,2020-01-15 2020-01-21
37,6.259211155,3.729992952,6.802356462,5.797511376,4.56485614,2.897124115,0.75,2020-01-16 2020-01-22
38,5.703019618,3.416900336,6.162034299,5.296671178,4.102198845,2.812177525,0.75,2020-01-17 2020-01-23
39,5.734482444,3.438851274,6.140779419,5.339264643,4.112988765,2.79767097,0.75,2020-01-18 2020-01-24
40,6.198413882,3.640215111,6.593994737,5.799588176,4.319433705,3.011191527,0.75,2020-01-19 2020-01-25
41,5.859211355,3.215153712,6.222771196,5.499861814,3.808620944,2.649764512,0.75,2020-01-20 2020-01-26
42,5.40213278,2.70543615,5.759875177,5.114808362,3.338507641,2.182330978,0.75,2020-01-21 2020-01-27
43,5.262276152,2.529033235,5.593265824,4.967288017,3.133377045,1.992075943,0.75,2020-01-22 2020-01-28
44,5.059865034,3.193548343,5.423458505,4.711300878,3.936914396,2.437435638,0.75,2020-01-23 2020-01-29
45,4.920260897,3.083030766,5.29553596,4.598734208,3.79480097,2.30202228,0.75,2020-01-24 2020-01-30
46,4.751484731,3.119494037,5.120462525,4.396482806,3.751465773,2.424956741,0.75,2020-01-25 2020-01-31
47,4.617979152,3.374566114,5.015068516,4.232078212,4.06962167,2.662627251,0.75,2020-01-26 2020-02-01
48,4.884343334,3.875303409,5.301521468,4.486089312,4.660100311,3.052404593,0.75,2020-01-27 2020-02-02
49,5.215801627,4.175149756,5.712283281,4.78574097,4.977025448,3.225963104,0.75,2020-01-28 2020-02-03
50,5.156828152,4.333900497,5.638939811,4.704020149,5.279902811,3.50565642,0.75,2020-01-29 2020-02-04
51,6.139396989,4.608984593,6.777177992,5.571886585,5.750895413,3.435686316,0.75,2020-01-30 2020-02-29
