,timewindow,AIC,dist,samplesize,,,,
1,Jan 01 - Jan 20,305.8805208,Gamma,87,306.7578724,Weibull,311.3156383,Log-Normal
2,Jan 15 - Jan 21,293.4501795,Gamma,83,293.4339395,Weibull,299.7653195,Log-Normal
3,Jan 16 - Jan 22,386.2188464,Gamma,114,386.4593069,Weibull,393.1831659,Log-Normal
4,Jan 17 - Jan 23,498.6166893,Gamma,150,500.4292013,Weibull,504.9916477,Log-Normal
5,Jan 18 - Jan 24,570.121578,Gamma,169,571.5889883,Weibull,577.7988479,Log-Normal
6,Jan 19 - Jan 25,739.8271018,Gamma,187,738.4392141,Weibull,752.4179944,Log-Normal
7,Jan 20 - Jan 26,728.1575075,Gamma,198,730.5005758,Weibull,733.7975995,Log-Normal
8,Jan 21 - Jan 27,744.4424983,Gamma,212,745.6095646,Weibull,751.9818651,Log-Normal
9,Jan 22 - Jan 28,799.7594777,Gamma,222,800.2989635,Weibull,809.0139203,Log-Normal
10,Jan 23 - Jan 29,887.7381844,Gamma,232,889.0099887,Weibull,897.0692431,Log-Normal
11,Jan 24 - Jan 30,814.4059309,Gamma,211,814.204146,Weibull,824.2242688,Log-Normal
12,Jan 25 - Jan 31,727.060345,Gamma,192,726.313898,Weibull,736.0731093,Log-Normal
13,Jan 26 - Feb 01,561.4111467,Gamma,170,562.9549569,Weibull,566.3977667,Log-Normal
14,Jan 27 - Feb 02,519.6152884,Gamma,153,517.3762098,Weibull,528.0635545,Log-Normal
15,Jan 28 - Feb 03,464.8583488,Gamma,127,462.2835614,Weibull,472.5898374,Log-Normal
16,Jan 29 - Feb 04,377.0635012,Gamma,111,377.0189274,Weibull,380.1454597,Log-Normal
17,Jan 30 - Feb 29,266.0167126,Gamma,103,264.041019,Weibull,270.2668764,Log-Normal
,,,,,,,,
18,Jan 01 - Jan 20,306.7578724,Weibull,87,,,,
19,Jan 15 - Jan 21,293.4339395,Weibull,83,,,,
20,Jan 16 - Jan 22,386.4593069,Weibull,114,,,,
21,Jan 17 - Jan 23,500.4292013,Weibull,150,,,,
22,Jan 18 - Jan 24,571.5889883,Weibull,169,,,,
23,Jan 19 - Jan 25,738.4392141,Weibull,187,,,,
24,Jan 20 - Jan 26,730.5005758,Weibull,198,,,,
25,Jan 21 - Jan 27,745.6095646,Weibull,212,,,,
26,Jan 22 - Jan 28,800.2989635,Weibull,222,,,,
27,Jan 23 - Jan 29,889.0099887,Weibull,232,,,,
28,Jan 24 - Jan 30,814.204146,Weibull,211,,,,
29,Jan 25 - Jan 31,726.313898,Weibull,192,,,,
30,Jan 26 - Feb 01,562.9549569,Weibull,170,,,,
31,Jan 27 - Feb 02,517.3762098,Weibull,153,,,,
32,Jan 28 - Feb 03,462.2835614,Weibull,127,,,,
33,Jan 29 - Feb 04,377.0189274,Weibull,111,,,,
34,Jan 30 - Feb 29,264.041019,Weibull,103,,,,
35,Jan 01 - Jan 20,311.3156383,Log-Normal,87,,,,
36,Jan 15 - Jan 21,299.7653195,Log-Normal,83,,,,
37,Jan 16 - Jan 22,393.1831659,Log-Normal,114,,,,
38,Jan 17 - Jan 23,504.9916477,Log-Normal,150,,,,
39,Jan 18 - Jan 24,577.7988479,Log-Normal,169,,,,
40,Jan 19 - Jan 25,752.4179944,Log-Normal,187,,,,
41,Jan 20 - Jan 26,733.7975995,Log-Normal,198,,,,
42,Jan 21 - Jan 27,751.9818651,Log-Normal,212,,,,
43,Jan 22 - Jan 28,809.0139203,Log-Normal,222,,,,
44,Jan 23 - Jan 29,897.0692431,Log-Normal,232,,,,
45,Jan 24 - Jan 30,824.2242688,Log-Normal,211,,,,
46,Jan 25 - Jan 31,736.0731093,Log-Normal,192,,,,
47,Jan 26 - Feb 01,566.3977667,Log-Normal,170,,,,
48,Jan 27 - Feb 02,528.0635545,Log-Normal,153,,,,
49,Jan 28 - Feb 03,472.5898374,Log-Normal,127,,,,
50,Jan 29 - Feb 04,380.1454597,Log-Normal,111,,,,
51,Jan 30 - Feb 29,270.2668764,Log-Normal,103,,,,
