"","X","mu","sd","negsumllk","timewindow","muLB.boot","muUB.boot","sdLB.boot","sdUB.boot"
"1",1,8.00897580226607,4.1119900401357,333.727279633598,"Jan 01 - Jan 20",7.06926631776068,8.87014481157939,3.05189307597832,5.13695102809643
"2",2,7.19938261259596,3.24474308781654,303.072425245431,"Jan 15 - Jan 21",6.41376123768739,8.01376431535797,2.45113696947154,4.10345256637982
"3",3,6.87139752944442,2.95390708799368,395.221009815277,"Jan 16 - Jan 22",6.23588055104787,7.53413339546515,2.26951863451675,3.57658104347244
"4",4,6.64869106007232,3.14213259310985,520.975531189648,"Jan 17 - Jan 23",6.02929153528733,7.33161165208796,2.51107162567037,3.84086625566467
"5",5,6.2434531660107,2.78926571284559,586.74901879655,"Jan 18 - Jan 24",5.67715448365548,6.80555640247861,2.16283454174916,3.39547423168354
"6",6,6.11837282182368,2.78061367826413,668.258518070851,"Jan 19 - Jan 25",5.59952934265954,6.63768505584282,2.16263325334806,3.48772485174288
"7",7,5.81428886670731,2.79933764397745,680.678845764288,"Jan 20 - Jan 26",5.31679201455977,6.34772323656828,2.04901583632888,3.53623946823414
"8",8,5.49303459590881,2.43045267208798,717.110332746598,"Jan 21 - Jan 27",5.02205544634648,6.00493487980716,1.73506153330557,3.18276267353735
"9",9,5.27821586290122,2.31321747868772,752.071776851245,"Jan 22 - Jan 28",4.83744425669976,5.75697409714581,1.72985628106237,3.02912075661771
"10",10,4.84970091229135,2.75632448302754,761.851939904009,"Jan 23 - Jan 29",4.37383117123205,5.32839680228056,1.95837478714963,3.46982259864732
"11",11,4.69566876973048,2.67485050139568,686.553157134851,"Jan 24 - Jan 30",4.24420282254358,5.14894626734113,2.00972123054904,3.32696736893212
"12",12,4.72584434792132,3.0461279055369,682.142352251174,"Jan 25 - Jan 31",4.20321001526141,5.26208557810516,2.25019950283052,3.74832709731547
"13",13,4.23428661110163,2.92024499185899,583.930302573593,"Jan 26 - Feb 01",3.72361531965459,4.79427579144709,2.24139626298817,3.62907426127579
"14",14,4.06144928851653,2.86076394339664,548.81784608799,"Jan 27 - Feb 02",3.50256477930102,4.66979732132334,2.13112908297506,3.59557470559607
"15",15,3.93454996810892,2.88176785797871,472.709683620026,"Jan 28 - Feb 03",3.35532432690751,4.57460639174725,2.09584863465571,3.62351605131772
"16",16,3.85207178324129,3.03330297197446,414.002058463945,"Jan 29 - Feb 04",3.18374262437775,4.50865176977619,2.20695128627062,3.92031332110976
"17",17,3.66626818986372,2.87105009216927,409.864531500029,"Jan 30 - Feb 29",2.93884624075961,4.38360302075164,1.95232729671213,3.77896641927935
