"","X","mu","sd","samplesize","negsumllk","timewindow","muLB.boot","muUB.boot","sdLB.boot","sdUB.boot"
"1",1,4.93470385509304,2.99406981018289,145,360.53777498682,"Jan 01 - Jan 26",4.35166800149768,5.5349037997799,2.33977078583879,3.56842574840032
"2",2,5.55119490490827,3.2052474852266,157,411.773912083683,"Jan 21 - Jan 27",4.91677676991358,6.20333223580371,2.54181280373493,3.72965348764228
"3",3,5.7169989297679,3.28430414478133,186,494.893428729033,"Jan 22 - Jan 28",5.15146013814361,6.34542320440036,2.64966151479791,3.83181173097082
"4",4,5.7958826179268,3.34604601932758,220,586.644854132134,"Jan 23 - Jan 29",5.24959237467036,6.38662647243675,2.78766655208588,3.82161142281974
"5",5,5.66624612777926,3.26644061455546,247,653.379221832352,"Jan 24 - Jan 30",5.13104028709797,6.18279582307861,2.77891548680017,3.72313887824896
"6",6,5.74605024539758,3.26298055893878,258,686.791341035436,"Jan 25 - Jan 31",5.25817398037529,6.23934928442882,2.80687355627785,3.68692342386273
"7",7,5.4094591479024,3.0182410292064,270,704.258413290623,"Jan 26 - Feb 01",4.95253212083906,5.89577591096927,2.59580212986879,3.41058601521661
"8",8,5.27142359832623,2.96613160202661,268,694.191294785417,"Jan 27 - Feb 02",4.80954549183495,5.72936505909666,2.53630816437767,3.351920038209
"9",9,5.00204326117506,2.78885252916033,269,683.510080089398,"Jan 28 - Feb 03",4.56337047888984,5.47640628005772,2.35994167658194,3.16649944528552
"10",10,4.77507262890188,2.69025243860392,259,653.098591049527,"Jan 29 - Feb 04",4.32747795537123,5.26452269370799,2.25611980085446,3.07056052635107
"11",11,4.49763114510784,2.43056913050753,234,579.651174394773,"Jan 30 - Feb 05",4.07163539333309,4.95405477933187,2.05782739832176,2.76068644335116
"12",12,4.32398949353926,2.49439816534376,228,568.597792819923,"Jan 31 - Feb 06",3.87151744669084,4.76549645640664,2.07710684685627,2.88373395088198
"13",13,4.36556856786896,2.70959549567188,215,542.139298557792,"Feb 01 - Feb 07",3.85478842292249,4.8665981125676,2.22232071156792,3.21704452004664
"14",14,4.33016194583693,2.88774755752069,183,465.324325010166,"Feb 02 - Feb 08",3.72836690837216,4.9196779119248,2.29283507773464,3.4764584447355
"15",15,4.49281484306663,3.23635384304502,167,435.050642289079,"Feb 03 - Feb 09",3.78244322409207,5.20678786215703,2.50234732670184,3.91337581591572
"16",16,4.4296167937507,3.3063377195264,152,392.536853063757,"Feb 04 - Feb 10",3.70850402386679,5.12571344258592,2.57057338823764,3.94849555892346
"17",17,4.9737257204264,3.87900005201376,157,422.500144390119,"Feb 05 - Feb 29",4.23951377863903,5.82771576868151,3.10875162954916,4.62273904859939
