timewindow,mu,muLB,muUB,sd,sdLB,sdUB,AIC,dist
Jan 01 - Jan 20,5.4,4.52,6.32,3.37,2.48,4.24,184.35,Gamma
Jan 15 - Jan 21,5.56,4.57,6.47,3.49,2.54,4.31,187.85,Gamma
Jan 16 - Jan 22,5.62,4.89,6.37,3.57,2.86,4.22,270.98,Gamma
Jan 17 - Jan 23,5.9,5.24,6.69,3.66,3.05,4.22,356.32,Gamma
Jan 18 - Jan 24,5.77,5.14,6.48,3.66,3.07,4.2,395.21,Gamma
Jan 19 - Jan 25,6.28,5.61,6.92,3.77,3.24,4.27,449.92,Gamma
Jan 20 - Jan 26,6.13,5.52,6.81,3.81,3.28,4.3,447.96,Gamma
Jan 21 - Jan 27,6.38,5.74,7.03,3.81,3.31,4.29,471.22,Gamma
Jan 22 - Jan 28,6.52,5.91,7.14,3.89,3.4,4.33,498.69,Gamma
Jan 23 - Jan 29,6.77,6.17,7.42,3.79,3.35,4.21,523.78,Gamma
Jan 24 - Jan 30,6.7,6.09,7.35,3.71,3.26,4.17,451.48,Gamma
Jan 25 - Jan 31,6.88,6.23,7.54,3.56,3.1,4,402.07,Gamma
Jan 26 - Feb 01,6.67,5.96,7.4,3.59,3.03,4.08,311.4,Gamma
Jan 27 - Feb 02,7.05,6.28,7.81,3.45,2.82,3.94,282.59,Gamma
Jan 28 - Feb 03,7.18,6.34,7.98,3.52,2.82,4.08,231.27,Gamma
Jan 29 - Feb 04,7.14,6.22,8.09,3.19,2.47,3.79,184.94,Gamma
Jan 30 - Feb 29,7.08,5.99,8.22,3.11,2.09,3.81,102.34,Gamma
Jan 01 - Jan 20,5.39,4.5,6.3,3.36,2.5,4.05,184.49,Weibull
Jan 15 - Jan 21,5.55,4.59,6.58,3.46,2.64,4.18,187.98,Weibull
Jan 16 - Jan 22,5.63,4.87,6.45,3.52,2.9,4.12,271.18,Weibull
Jan 17 - Jan 23,5.91,5.24,6.68,3.59,3.06,4.06,356.48,Weibull
Jan 18 - Jan 24,5.77,5.11,6.45,3.61,3.1,4.09,395.55,Weibull
Jan 19 - Jan 25,6.29,5.65,6.93,3.7,3.24,4.15,449.83,Weibull
Jan 20 - Jan 26,6.13,5.49,6.78,3.74,3.24,4.17,448.08,Weibull
Jan 21 - Jan 27,6.39,5.71,6.99,3.7,3.22,4.1,470.03,Weibull
Jan 22 - Jan 28,6.53,5.93,7.19,3.75,3.31,4.16,496.99,Weibull
Jan 23 - Jan 29,6.78,6.17,7.34,3.65,3.26,4.02,521.53,Weibull
Jan 24 - Jan 30,6.71,6.05,7.34,3.59,3.16,3.97,449.67,Weibull
Jan 25 - Jan 31,6.9,6.28,7.52,3.43,3.03,3.81,399.67,Weibull
Jan 26 - Feb 01,6.69,5.98,7.44,3.52,3.06,3.93,311.18,Weibull
Jan 27 - Feb 02,7.08,6.35,7.83,3.37,2.91,3.77,281.91,Weibull
Jan 28 - Feb 03,7.21,6.36,8.1,3.45,2.89,3.88,230.94,Weibull
Jan 29 - Feb 04,7.13,6.17,8.05,3.25,2.6,3.72,185.96,Weibull
Jan 30 - Feb 29,7.08,6.07,8.19,3.24,2.11,3.78,103.05,Weibull
Jan 01 - Jan 20,5.47,4.54,6.42,3.81,2.53,5.21,186.72,Log-Normal
Jan 15 - Jan 21,5.64,4.72,6.65,3.99,2.69,5.6,190.24,Log-Normal
Jan 16 - Jan 22,5.7,4.95,6.65,4.14,3.08,5.32,274.38,Log-Normal
Jan 17 - Jan 23,5.98,5.26,6.74,4.24,3.25,5.17,360.72,Log-Normal
Jan 18 - Jan 24,5.84,5.17,6.55,4.23,3.3,5.18,399.55,Log-Normal
Jan 19 - Jan 25,6.36,5.68,7.03,4.31,3.59,5.07,454.53,Log-Normal
Jan 20 - Jan 26,6.2,5.56,6.88,4.36,3.63,5.1,452.14,Log-Normal
Jan 21 - Jan 27,6.46,5.9,7.14,4.37,3.68,5.07,477.77,Log-Normal
Jan 22 - Jan 28,6.59,5.92,7.26,4.5,3.81,5.15,506.26,Log-Normal
Jan 23 - Jan 29,6.83,6.17,7.45,4.29,3.66,4.88,531.45,Log-Normal
Jan 24 - Jan 30,6.76,6.13,7.43,4.17,3.53,4.85,458.07,Log-Normal
Jan 25 - Jan 31,6.93,6.22,7.6,3.98,3.25,4.63,408.61,Log-Normal
Jan 26 - Feb 01,6.7,5.94,7.51,3.98,3.2,4.72,314.96,Log-Normal
Jan 27 - Feb 02,7.06,6.27,7.85,3.84,3.04,4.55,286.91,Log-Normal
Jan 28 - Feb 03,7.19,6.31,8.09,3.91,3.02,4.8,234.55,Log-Normal
Jan 29 - Feb 04,7.14,6.27,8.1,3.38,2.49,4.12,186.21,Log-Normal
Jan 30 - Feb 29,7.08,6.02,8.05,3.17,2.2,3.92,103,Log-Normal
