,mu,sd,samplesize,negsumllk,timewindow,muLB.boot,muUB.boot,sdLB.boot,sdUB.boot,AIC,GT sensitivity,bias,sd sensitivity,bias
1,7.268512397,3.813725565,116,322.0802328,Jan 01 - Jan 20,6.424299539,8.068131492,2.836507509,4.796675505,648.16,8.008975802,0.101872758,4.11199004,0.078208164
2,6.456927018,3.012706747,110,290.300335,Jan 15 - Jan 21,5.722591966,7.165140754,2.359070107,3.697972946,584.60,7.199382613,0.114985905,3.244743088,0.077019226
3,5.975652474,2.723442176,146,374.2984653,Jan 16 - Jan 22,5.416638971,6.572543416,2.190008958,3.260753956,752.60,6.871397529,0.149899121,2.953907088,0.084622657
4,5.642746527,2.821207581,191,488.8111892,Jan 17 - Jan 23,5.104623436,6.231191515,2.254950818,3.500616003,981.62,6.64869106,0.178272146,3.142132593,0.113754484
5,5.550417422,2.535658268,218,557.1605223,Jan 18 - Jan 24,5.025265341,6.068111405,1.979716844,3.08501583,1118.32,6.243453166,0.124861914,2.789265713,0.100016413
6,5.545895911,2.500547583,248,637.6611884,Jan 19 - Jan 25,5.076195049,6.025301387,1.928241579,3.163617216,1279.32,6.118372822,0.103225326,2.780613678,0.112001906
7,5.379393286,2.350049509,257,649.0933798,Jan 20 - Jan 26,4.942243538,5.869221356,1.708914955,3.026367009,1302.19,5.814288867,0.080844727,2.799337644,0.191182413
8,5.025107083,2.075699569,275,679.9229814,Jan 21 - Jan 27,4.616906621,5.459310813,1.503241246,2.751509034,1363.85,5.493034596,0.093117919,2.430452672,0.170907731
9,4.758905058,1.8410912,291,710.345215,Jan 22 - Jan 28,4.391027152,5.157102174,1.379320364,2.492530657,1424.69,5.278215863,0.10912401,2.313217479,0.25643829
10,4.629841338,2.512845081,295,737.20087,Jan 23 - Jan 29,4.197824279,5.072284711,1.756857811,3.13775062,1478.40,4.849700912,0.047487497,2.756324483,0.096893917
11,4.50900317,2.424617249,270,667.5497205,Jan 24 - Jan 30,4.100703993,4.934726057,1.80090954,3.035761204,1339.10,4.69566877,0.041398418,2.674850501,0.103205259
12,4.463210273,2.813545254,265,661.3764789,Jan 25 - Jan 31,3.959634072,4.973375745,2.077522442,3.468593383,1326.75,4.725844348,0.058844208,3.046127906,0.082665332
13,4.212013151,2.73008984,231,575.7645529,Jan 26 - Feb 01,3.698523509,4.744321452,2.064114753,3.404277493,1155.53,4.234286611,0.00528808,2.920244992,0.06965161
14,4.257792499,2.898582885,218,549.5981431,Jan 27 - Feb 02,3.683729254,4.867924052,2.125762313,3.621916446,1103.20,4.061449289,-0.046113851,2.860763943,-0.01304739
15,4.361507794,3.098614177,188,482.2790213,Jan 28 - Feb 03,3.766211882,5.037346945,2.275456422,3.841982003,968.56,3.934549968,-0.097892253,2.881767858,-0.06998171
16,4.606586196,3.41205751,166,430.8986222,Jan 29 - Feb 04,3.918204141,5.327846501,2.539458219,4.28265708,865.80,3.852071783,-0.16379036,3.033302972,-0.111004735
17,5.198918615,3.647062098,163,441.2430314,Jan 30 - Feb 29,4.387270132,6.020603776,2.715923878,4.511949513,886.49,3.66626819,-0.294801773,2.871050092,-0.212777294
