,R.est,R.LB,R.UB,CIcover,Bias,R.ref,based_on,GT_setting,timewindow
1,2.50,2.21,2.80,34.00,6.20%,2.35,SI,long,D1-15
2,2.94,2.54,3.33,16.00,23.96%,2.37,SI,med,D1-10
3,2.65,2.43,2.88,3.00,24.77%,2.13,SI,short,D1-10
4,2.33,2.06,2.60,35.00,-1.23%,2.35,GT_expo1,long,D1-15
5,2.48,2.15,2.83,41.00,4.79%,2.37,GT_expo1,med,D1-10
6,2.16,1.99,2.32,36.00,1.58%,2.13,GT_expo1,short,D1-10
7,2.33,2.06,2.61,34.00,-0.95%,2.35,GT_expo4,long,D1-15
8,2.49,2.15,2.82,38.00,5.04%,2.37,GT_expo4,med,D1-10
9,2.18,2.02,2.34,28.00,2.59%,2.13,GT_expo4,short,D1-10
10,2.36,2.08,2.64,36.00,0.19%,2.35,GT_expo7,long,D1-15
11,2.53,2.17,2.87,38.00,6.62%,2.37,GT_expo7,med,D1-10
12,2.26,2.09,2.44,16.00,6.57%,2.13,GT_expo7,short,D1-10
13,2.36,2.08,2.65,33.00,0.41%,2.35,GT_expo10,long,D1-15
14,2.54,2.19,2.91,32.00,7.13%,2.37,GT_expo10,med,D1-10
15,2.25,2.07,2.43,17.00,5.66%,2.13,GT_expo10,short,D1-10
