,empmean,empsd,empsamplesize.ave,timewindow,expo10.muCIrecover,,expo10.estmu,expo10.biasmu,expo10.widthmu,expo10.sdCIrecover,,expo10.estsd,expo10.biassd,expo10.widthsd,GTsetting
1,9.70340814,5.586545038,66.37,D1 - D15,41,0.82,9.985799301,0.029102266,3.345157991,46,0.92,6.293466072,0.126539933,3.326881931,longGT
2,9.485552462,5.447036033,76.499,D10 - D19,42,0.84,9.396991667,-0.009336388,2.992510357,39,0.78,5.935646857,0.089702146,2.998142516,longGT
3,9.044827808,5.248666539,163.291,D20 - D29,44,0.88,9.034723503,-0.001117136,2.013712962,40,0.8,5.812045697,0.107337579,2.015403865,longGT
4,8.618808155,5.060623912,239.429,D30 - D39,46,0.92,8.534900287,-0.009735438,1.577248551,29,0.58,5.736007609,0.133458583,1.592481928,longGT
5,8.442071454,5.122718631,209.115,D40 - D49,43,0.86,8.299764251,-0.016856906,1.745157942,30,0.6,5.885028339,0.1488096,1.785574969,longGT
6,8.684056268,5.332997802,108.514,D50 - D59,46,0.92,8.244506277,-0.050615747,2.579354478,41,0.82,6.151036435,0.153391894,2.718183276,longGT
7,9.280287357,5.651942978,57.487,D60 - D100,44,0.88,8.71661598,-0.060738569,3.908970071,47,0.94,6.366237152,0.126380287,4.185240666,longGT
8,6.876131445,3.769787178,44.785,D1 - D10,36,0.72,7.327906616,0.065701939,2.989568653,38,0.76,4.505882299,0.195261718,2.975169899,mediumGT
9,6.836402425,3.745792782,45.237,D5 - D11,36,0.72,7.32100786,0.070886031,3.05413836,41,0.82,4.485152954,0.197384163,3.049929585,mediumGT
10,6.560963236,3.622901469,106.415,D12 - D18,37,0.74,6.913587363,0.053745786,1.957839757,36,0.72,4.301378723,0.187274553,1.958862856,mediumGT
11,6.27517689,3.481059115,194.115,D19 - D25,40,0.8,6.370702421,0.015222763,1.389307832,22,0.44,4.213909986,0.210525258,1.39326577,mediumGT
12,6.054944261,3.426241014,233.766,D26 - D32,39,0.78,5.899321555,-0.025701757,1.196431768,17,0.34,4.073929881,0.189037743,1.212928173,mediumGT
13,6.025908128,3.492688025,171.476,D33 - D39,40,0.8,5.647282329,-0.062832986,1.434746677,23,0.46,4.147890944,0.187592741,1.475438573,mediumGT
14,6.315381019,3.69413527,119.849,D40 - D60,31,0.62,5.644120973,-0.106289715,1.840388632,38,0.76,4.31911861,0.169182581,1.931790693,mediumGT
15,3.910407825,1.907636282,84.892,D1 - D10,32,0.64,4.336374063,0.10893141,1.492266042,21,0.42,2.590725537,0.358081497,1.484250771,shortGT
16,3.826749564,1.855298395,90.129,D9 - D12,32,0.64,4.265309083,0.114603663,1.410683269,15,0.3,2.577033924,0.38901318,1.417348206,shortGT
17,3.702611224,1.802675763,163.891,D13 - D16,33,0.66,3.839607809,0.036999992,1.034006223,18,0.36,2.452994287,0.360751799,1.037046831,shortGT
18,3.604232307,1.775174607,209.237,D17 - D20,34,0.68,3.500217395,-0.028859103,0.849648272,11,0.22,2.344396236,0.320656698,0.862298841,shortGT
19,3.568421956,1.784196359,179.422,D21 - D24,39,0.78,3.374223887,-0.054421274,0.931319595,14,0.28,2.326064939,0.303704565,0.957400474,shortGT
20,3.593602031,1.814447071,110.093,D25 - D28,27,0.54,3.042226151,-0.153432649,1.135540723,39,0.78,2.162009378,0.19155274,1.20945236,shortGT
21,3.69292573,1.865545979,78.443,D29 - D40,23,0.46,2.908462282,-0.212423294,1.376620354,42,0.84,2.093532914,0.122209229,1.479375023,shortGT
