"","timewindow","X","mu","muLB","muUB","sd","sdLB","sdUB","samplesize"
"1","2020-01-01 - 2020-01-20",1,8.89655172413793,7.86102890348018,9.90029236860099,5.41450687146278,4.67002220358026,6.12120332636404,116
"2","2020-01-15 - 2020-01-21",2,8,7.02895202106883,8.98409254794242,5.08652408553496,4.38236537191294,5.78388962663919,110
"3","2020-01-16 - 2020-01-22",3,7.41780821917808,6.64431924789122,8.18957453958867,4.77257698591733,4.21392955128639,5.31351594248562,146
"4","2020-01-17 - 2020-01-23",4,7.24607329842932,6.56616251081282,7.85458868601462,4.83520821761756,4.34238400909023,5.29708133228429,191
"5","2020-01-18 - 2020-01-24",5,6.8256880733945,6.19993737871863,7.47734872277894,4.83554127155795,4.38128817232981,5.28065255376601,218
"6","2020-01-19 - 2020-01-25",6,6.7258064516129,6.13578135179381,7.42008832577534,5.0166476238514,4.5751453620418,5.47292983596926,248
"7","2020-01-20 - 2020-01-26",7,6.12451361867704,5.55499985782785,6.73154514206796,4.85590641364345,4.45031672380698,5.25128644560166,257
"8","2020-01-21 - 2020-01-27",8,5.89090909090909,5.3257366949959,6.44196732378004,4.90888888473192,4.51001091367939,5.30290692970488,275
"9","2020-01-22 - 2020-01-28",9,5.69072164948454,5.12713518270205,6.20934325462896,4.79839783844481,4.40815546425257,5.19168380127557,291
"10","2020-01-23 - 2020-01-29",10,5.40677966101695,4.82875082573648,5.95576110907788,4.82268173539808,4.42737330058598,5.20189336552581,295
"11","2020-01-24 - 2020-01-30",11,5.04444444444444,4.48562396461507,5.62875359014336,4.77162394387156,4.3978053782976,5.14712537541106,270
"12","2020-01-25 - 2020-01-31",12,4.83018867924528,4.24987549779691,5.44656433058235,4.67565291195565,4.25993791004909,5.04523566382693,265
"13","2020-01-26 - 2020-02-01",13,4.17748917748918,3.60877687122679,4.71958230927651,4.37709650137513,3.94350596776191,4.7633879635686,231
"14","2020-01-27 - 2020-02-02",14,4.04128440366972,3.49379947653217,4.59076046669797,4.36658939419121,3.96340669675135,4.78164752019298,218
"15","2020-01-28 - 2020-02-03",15,3.84574468085106,3.21823806493279,4.44516826937571,4.25673846011132,3.80878446404847,4.6520280389716,188
"16","2020-01-29 - 2020-02-04",16,3.44578313253012,2.82708073373706,4.08893576301227,4.12238383500239,3.65096948208049,4.52991031959247,166
"17","2020-01-30 - 2020-02-29",17,2.68098159509202,1.98383021417783,3.37490619799847,4.54926073880141,4.04632651213883,5.00638378599838,163
